num_passengers,sales_channel,trip_type,purchase_lead,length_of_stay,flight_hour,flight_day,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete,booking_origin_0,booking_origin_1,booking_origin_2,booking_origin_3,booking_origin_4,booking_origin_5,booking_origin_6,route,route_0,route_1,route_2,route_3,route_4,route_5,route_6,route_7,route_8,route_9
2,0,0,262,19,7,6,1,0,0,5.52,0,0,0,0,0,0,0,1,AKLDEL,0,0,0,0,0,0,0,0,0,1
1,0,0,112,20,3,6,0,0,0,5.52,0,0,0,0,0,0,0,1,AKLDEL,0,0,0,0,0,0,0,0,0,1
2,0,0,243,22,17,3,1,1,0,5.52,0,0,0,0,0,0,1,0,AKLDEL,0,0,0,0,0,0,0,0,0,1
1,0,0,96,31,4,6,0,0,1,5.52,0,0,0,0,0,0,0,1,AKLDEL,0,0,0,0,0,0,0,0,0,1
2,0,0,68,22,15,3,1,0,1,5.52,0,0,0,0,0,0,1,0,AKLDEL,0,0,0,0,0,0,0,0,0,1
1,0,0,3,48,20,4,1,0,1,5.52,0,0,0,0,0,0,0,1,AKLDEL,0,0,0,0,0,0,0,0,0,1
3,0,0,201,33,6,4,1,0,1,5.52,0,0,0,0,0,0,0,1,AKLDEL,0,0,0,0,0,0,0,0,0,1
2,0,0,238,19,14,1,1,0,1,5.52,0,0,0,0,0,0,1,0,AKLDEL,0,0,0,0,0,0,0,0,0,1
1,0,0,80,22,4,1,0,0,1,5.52,0,0,0,0,0,0,0,1,AKLDEL,0,0,0,0,0,0,0,0,0,1
1,1,0,378,30,12,7,0,0,0,5.52,0,0,0,0,0,0,1,0,AKLDEL,0,0,0,0,0,0,0,0,0,1
2,0,0,185,25,14,2,1,1,1,5.52,0,0,0,0,0,0,1,1,AKLDEL,0,0,0,0,0,0,0,0,0,1
1,0,0,8,43,2,6,1,1,1,5.52,0,0,0,0,0,0,0,1,AKLDEL,0,0,0,0,0,0,0,0,0,1
4,0,0,265,24,19,1,1,0,1,5.52,0,0,0,0,0,0,0,1,AKLDEL,0,0,0,0,0,0,0,0,0,1
1,0,0,185,17,14,5,0,0,0,5.52,0,0,0,0,0,0,1,0,AKLDEL,0,0,0,0,0,0,0,0,0,1
1,0,0,245,34,4,2,1,1,1,5.52,0,0,0,0,0,0,0,1,AKLDEL,0,0,0,0,0,0,0,0,0,1
1,0,0,192,18,14,4,1,0,0,5.52,0,0,0,0,0,0,1,0,AKLDEL,0,0,0,0,0,0,0,0,0,1
1,0,0,259,37,6,7,0,0,0,5.52,0,0,0,0,0,0,1,0,AKLDEL,0,0,0,0,0,0,0,0,0,1
1,0,0,19,29,10,6,0,0,1,5.52,0,0,0,0,0,0,0,1,AKLDEL,0,0,0,0,0,0,0,0,0,1
1,0,0,67,155,8,7,1,0,0,5.52,0,0,0,0,0,0,0,1,AKLDEL,0,0,0,0,0,0,0,0,0,1
1,0,0,351,17,3,7,0,0,0,5.07,0,0,0,0,0,1,0,0,AKLHGH,0,0,0,0,0,0,0,0,1,0
2,0,2,228,29,23,3,1,0,0,7.57,0,0,0,0,0,0,0,1,AKLHND,0,0,0,0,0,0,0,0,1,1
1,0,0,21,88,9,3,1,0,1,6.62,0,0,0,0,0,1,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
2,0,0,23,19,8,1,1,0,1,6.62,0,0,0,0,0,0,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
2,0,0,25,27,13,5,1,0,1,6.62,0,0,0,0,0,1,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,0,0,16,21,6,4,1,0,1,6.62,0,0,0,0,0,0,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,0,0,66,20,7,4,1,0,0,6.62,0,0,0,0,0,1,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,0,0,51,28,6,5,0,0,0,6.62,0,0,0,0,0,1,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
2,0,0,37,24,7,1,1,0,0,6.62,0,0,0,0,0,0,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,0,0,101,19,11,2,1,0,1,6.62,0,0,0,0,0,1,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,0,0,19,47,2,2,1,0,1,6.62,0,0,0,0,0,0,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,0,0,16,35,23,3,1,1,0,6.62,0,0,0,0,0,0,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
2,0,0,7,82,4,4,1,0,1,6.62,0,0,0,0,0,1,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,0,0,5,27,0,5,0,0,1,6.62,0,0,0,0,0,0,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,0,0,185,34,4,1,1,0,1,6.62,0,0,0,0,0,0,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,0,0,21,22,7,5,1,1,0,6.62,0,0,0,0,0,0,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,0,0,7,27,4,3,0,0,1,6.62,0,0,0,0,0,0,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,0,0,33,22,14,6,1,0,0,6.62,0,0,0,0,0,1,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
6,0,0,20,22,3,5,1,1,1,6.62,0,0,0,0,0,1,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
2,0,0,56,21,7,4,1,0,0,6.62,0,0,0,0,0,0,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,0,0,3,33,1,1,1,0,1,6.62,0,0,0,0,0,1,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,0,0,13,26,7,1,1,0,0,6.62,0,0,0,0,0,1,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,0,0,71,90,7,4,1,1,1,6.62,0,0,0,0,0,1,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
2,0,0,346,23,8,1,1,0,1,6.62,0,0,0,0,0,1,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,0,0,9,84,7,3,1,0,0,6.62,0,0,0,0,0,0,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,0,0,65,22,14,4,1,0,0,6.62,0,0,0,0,0,1,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,1,0,221,61,2,7,0,0,0,6.62,0,0,0,0,0,0,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,0,0,65,18,14,3,0,0,1,6.62,0,0,0,0,0,1,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
2,0,0,7,40,7,3,1,0,1,6.62,0,0,0,0,0,1,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,0,0,107,24,14,5,0,1,0,6.62,0,0,0,0,0,1,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,0,0,14,27,10,3,0,0,0,6.62,0,0,0,0,0,0,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,0,0,77,96,9,2,1,0,1,6.62,0,0,0,0,0,0,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,0,0,65,17,9,3,1,0,0,6.62,0,0,0,0,0,0,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,0,0,24,25,8,4,1,0,1,6.62,0,0,0,0,0,1,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,0,0,47,69,2,3,1,1,1,6.62,0,0,0,0,0,1,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,0,0,22,89,14,2,1,0,1,6.62,0,0,0,0,0,1,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
2,0,0,11,25,4,4,1,0,1,6.62,0,0,0,0,0,1,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,0,0,35,25,6,2,0,0,1,6.62,0,0,0,0,0,1,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,0,0,272,21,14,2,1,0,0,6.62,0,0,0,0,0,0,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,0,0,20,18,10,1,0,0,0,6.62,0,0,0,0,0,0,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,0,0,250,23,9,7,1,0,1,6.62,0,0,0,0,0,1,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
1,0,0,161,58,2,6,1,0,1,6.62,0,0,0,0,0,1,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
4,0,0,128,21,9,1,1,1,0,6.62,0,0,0,0,0,0,0,1,AKLICN,0,0,0,0,0,0,0,1,0,0
