review,sentiment,verified,topic,sentiment_mostly,topic_label
airline lost luggage absolutely awful throughout entire trip gave updates website sucks nearly impossible get someone phone finally delivered luggage hotel left go back us 5 days told ship back us ive calling everyday begging get bag back appease phone tell theyre fixing nothing changes hotel cant get touch havent even tried pick bag back several times called got message saying answering due many complaints calls call back later,-0.1119791666666666,1,4,negative,flight-ba-us-hours-london
booked ba website round trip flights seattle amman stop london business class first flight delayed diverted nyc enroute husband experienced medical emergency landed nyc taken hospital stayed constant contact airline agent arranged ambulance transfer evening flew back home confirming cancellation remaining flights agent airport next several weeks spoke many times ba customer service trying obtain kind refund met contradictory explanations excuses absence meaningful customer service discovered marked noshows flight amman return flight still active unable cancel return website despite booking website phone calls never returned spent minimum 4060 minutes hold every phone call made emails received canned replies without answers explanations told possible receive copy ticketing rules regulations speak supervisor several weeks abysmal customer service filed complaint faa response complaint received email ba customer service explaining reviewed many requests full refund could accommodated due ticketing rules would issue flight credits except portion noshowed state many credits never asked full refund asked read rules receive partial refund use credits fully refunded travel insurance,0.0956845238095238,1,6,neutral,airways-british-ba-flight-seats
first time flying ba business class never boarding drinks provided meal quality business class standards quality wine arrival bodrum bags among last appear looking forward chaos return flight,0.0833333333333333,1,2,negative,class-business-ba-first-food
buy sandwiches crisps dont expect hot meal plane narrow body screens helping matters fact ba prebooking shop food didnt recognise flight number onboard wifi didnt work,0.0249999999999999,0,5,negative,meal-economy-cabin-food-would
twoforone review covering economy business class ba flight london city ibiza economy excellent light lunch small cheeseandpastrami sandwich chocolate brownie followed pretty much freeflowing drinks trolley flight full crew worked hard good job flight would recommend except dont fall last minute offer upgrade business 100 direction flew economy business back brother flew business economy business seats identical economy seats blocked squished four abreast meals almost identical minor tweaks yoghurt 100 real plus champagne flight none supply issues cabin attendant think name tom must one best business didnt eat paid 100 nothing oh well great flight stick economy,0.2846078431372549,1,2,positive,class-business-ba-first-food
absolutely horrible airline communication terrible last minute delays cancellations seat changes communication app website user experience years behind airlines seats cramped uncomfortable overpriced would fly,-0.4892857142857142,1,4,negative,flight-ba-us-hours-london
experienced delays cancellations departing usa europe 35 hour estimated delay lhr heading back usa would warn travelers ba become unreliable fly list get better organized,0.225,1,4,positive,flight-ba-us-hours-london
travelled heathrow kalamata return journey 11 days later world traveller aka economy class flights departed time return flight landed early 1 14 hour wait baggage offloaded rather ruined journey home caught motorway closure flights ok fas particularly return flight pleasant enough usual economy class seating truly dreadful legroom better club class either middle seat left free marked recommend tall,0.0215277777777777,1,3,negative,flight-lounge-good-boarding-time
flight failed every level delayed arrived destination late prepaid car transfer phoned advise us could wait another 10 minutes us ba holiday pre ordered food flight never loaded onto flight finally compound british airways complete utter uselessness luggage still heathrow flight tomorrow earliest luggage could possible arrive late wednesday evening clothes flew reading claim toiletries underwear seems antithesis happy holiday might expected complimentary scone lieu food told could purchase trolley available would like make clear british airways bronze level holders long retired shows used airline historically,0.0189473684210526,0,4,negative,flight-ba-us-hours-london
beware british airways marketing make believe full class level rest wont treat way get bumped flight responsibility compensate mistakes recently trip home planned mrs sea mechanical issue meant departed late mrs lhr needed make connecting flight landed plenty time make next gate series issues choices british airways kept us boarding next plane crew let passengers connecting flights first hold next flight mere 510 minutes passengers make connections airlines plus discovered actually bumped next flight even landed pushed virgin atlantic figure get us home extended travel day 8 hours traveling children well offers compensation upgrades made ba refusing provide us financial compensation paid trip home one connection instead two connections multiple airlines deal security extra airport kids midnight flight never planning paid ba refuses make right beware potential travelers,0.0017857142857142,0,4,negative,flight-ba-us-hours-london
flew cairo heathrow call euro club class cramped coach seat middle empty seat horrible service get heathrow airport 40 minutes late run around looking connecting flight finally jumping escalators train another building gate given seat different paid extra shame well known airline,-0.175,1,2,negative,class-business-ba-first-food
flew numerous airlines gotta admit british airways far worst airline ever comes customer support waited 3 weeks ticket change call center workers giving false information would make hang told supposed get email flight changes never got dont live chat like american airlines dont online form submit questions working international number total garbage,-0.1263636363636363,0,6,negative,airways-british-ba-flight-seats
traveling family 5 people accident airport arrived airport 1 hour flight kiosk unable read one passports go checkin lady checkin checked passport gave us boarding pass extra time headed straight security didnt realize lady gave us duplicated boarding pass passport holder got stuck security couldnt figure wrong didnt miss flight ran airport 70 year old 9 year old included party staff gate cordial helpful arrived,-0.0444444444444444,1,4,negative,flight-ba-us-hours-london
flight 840am dub lcy cancelled 1155pm night text message phone waiting bus stop randomly checked email see alternate flight option hang whats dark 5am hard see mobile phone screen im still jet lagged option lhr 920am tried calling one accepted didnt see day change next day didnt want flight staying docklands hence choosing lcy thought better take leaving hour original flight nope better call say hey sorry screwed flight going work dont accommodation dublin dont want waste one night london called surly customer service even called treat people like answered kept calling james name brutal accepted cant anything basically made feel like moron moment confusion accepted first available flight stupid supercomputer kept telling algorithm flight chosen called us could put onto aer lingus flight didnt call fault callous uncaring wanted charge 600 pounds new flights change fees said nope booked flight today ryanair plus need find way gatwick docklands money bas utter contempt passengers ive flying qantas 25 years funky stuff never level cruelty one simple error never people accept utter contempt ineptitude welcome uk wow,0.0171037296037296,1,4,negative,flight-ba-us-hours-london
terrible traveled twice year via business class significantly delayed cancellations connecting flights customer service complete lack appalling forced change credit cards longer intend use ba flights terrible uncomfy old planes miserable staff,-0.3416666666666666,1,6,negative,airways-british-ba-flight-seats
customer service ugly tried calling two weeks ago still problems flight get someone india thought flying iberia looked close ticket british airways never fly british airway ever,-0.275,1,6,negative,airways-british-ba-flight-seats
uncomfortable flight ever experienced long time since flown longhaul cramped conditions awful rows close together person front reclined seat tv close couldnt focus ba seem want make economy uncomfortable encourage customers upgrade worked avoid flying ba future onward flight latam 787 aircraft room rows far comfortable return flight santiago lights turned 8pm feel cabin crew avoid providing service disappear behind curtains,0.0138888888888888,1,7,negative,seat-economy-flight-seats-premium
booked first country trip take husband surprise trip monaco gave us 3 hours connecting flight home heathrow flight left seattle hour late causing us miss connecting flight rescheduled even landed booked us flight 7 hours later offered food tickets type reimbursement additionally sat customer service line hour half see could rebook us earlier flight watch continually assist customers walked outside queue earlier flights available arrived nice france airport closed including rental car desk offered assistance airline room accommodation night found cab cost us 85 euros one one get hotel thought way something like could happen way homewe wrong flight nice heathrow 30 minutes late 25 hour layover would think still make flight unfortunately long security lines caused 15 hr delay arriving ba closed doors said could hold plane longer despite arriving 15mins departure running heathrow airport going security sent us back customer service queue first statement cant get tomorrow begging found us flight another airline time told bags transferred flight delta given 8 pounds snacks airport additional 5 hour delay total trip home spent 13 hours heathrow airport original total layover 6 hours offered 8 pound unfortunately drama continues two bags said made delta flight shockingly told file claim delta since last part flight home 5 days airline pointing finger said today dont care bags figure send luggage dont want 500 reimbursement per bag doesnt come close memories stuff never fly british airways deltas baggage people great either,-0.0224747474747474,1,4,negative,flight-ba-us-hours-london
husband booked seats within premium economy booking outward journey ba015 12 february return 11 march last almost last served food time run choices one occasion eat available option curry disagrees flights appeared undue focus curryspicy food disappointing left us poor opinion british airways,-0.1125,1,6,negative,airways-british-ba-flight-seats
may 3 flew seattle heathrow edinburgh ba lost golf bag caused purchase golf shoes club rentals tees balls tee times two courses st andrews took months make promised bag returned 24 hours would reimburse occurred expenses contacted ba state would reimburse toiletries return flight home randomly canceled ba without notifying without notice two weeks scheduled flight contacted corporate travel team informed ba canceled return reservation rebooked flight ba customer service horrendous make false promises never use airlines beware british airways also randomly canceled girlfriend fathers flight gold members,-0.2,0,4,negative,flight-ba-us-hours-london
